"Name","Log? fold change","Fold change","P-value","locus_tag (NC_007777 (CDS))","old_locus_tag (NC_007777 (CDS))","GO_function (NC_007777 (CDS))","GO_process (NC_007777 (CDS))","protein_id (NC_007777 (CDS))","GO_component (NC_007777 (CDS))"
"dnaA","0.1509055549","1.1102661484","0.6293364146","FRANCCI3_RS00015","Francci3_0001","GO:0005524 - ATP binding [Evidence IEA]; GO:0003688 - DNA replication origin binding [Evidence IEA]; GO:0043565 - sequence-specific DNA binding [Evidence IEA]","GO:0006275 - regulation of DNA replication [Evidence IEA]","WP_011434478.1",""
"dnaN_1","-0.5049077959","-1.4190326615","0.2304917014","FRANCCI3_RS00020","Francci3_0003","GO:0003887 - DNA-directed DNA polymerase activity [Evidence IEA]","GO:0006260 - DNA replication [Evidence IEA]","WP_011434479.1","GO:0009360 - DNA polymerase III complex [Evidence IEA]"
"recF","0.1731772765","1.1275389541","0.6025363597","FRANCCI3_RS00025, FRANCCI3_RS00030","Francci3_0004, Francci3_0005","GO:0005524 - ATP binding [Evidence IEA]; GO:0003697 - single-stranded DNA binding [Evidence IEA]","GO:0006281 - DNA repair [Evidence IEA]","WP_011434480.1, WP_011434481.1",""
"FRANCCI3_RS00030","-0.0440709714","-1.0310190371","0.9224491822","FRANCCI3_RS00025, FRANCCI3_RS00030","Francci3_0004, Francci3_0005","GO:0005524 - ATP binding [Evidence IEA]; GO:0003697 - single-stranded DNA binding [Evidence IEA]","GO:0006281 - DNA repair [Evidence IEA]","WP_011434480.1, WP_011434481.1",""
"gyrB","-0.2651680006","-1.2017759871","0.5754114978","FRANCCI3_RS00035","Francci3_0006","GO:0003918 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [Evidence IEA]","GO:0006265 - DNA topological change [Evidence IEA]","WP_035729010.1","GO:0009330 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [Evidence IEA]"
"gyrA","-0.3228105066","-1.2507647854","0.4501916409","FRANCCI3_RS00040","Francci3_0007","GO:0005524 - ATP binding [Evidence IEA]; GO:0003677 - DNA binding [Evidence IEA]; GO:0003916 - DNA topoisomerase activity [Evidence IEA]; GO:0003918 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [Evidence IEA]","GO:0006259 - DNA metabolic process [Evidence IEA]; GO:0006265 - DNA topological change [Evidence IEA]","WP_011434483.1",""
"FRANCCI3_RS23025","-0.0555180105","-1.0392321804","0.8898118197","FRANCCI3_RS23025, FRANCCI3_RS00045","Francci3_0008, Francci3_0009","","","WP_162492183.1, WP_235463104.1",""
"FRANCCI3_RS00045","-0.148176613","-1.1081680001","0.6918149862","FRANCCI3_RS23025, FRANCCI3_RS00045","Francci3_0008, Francci3_0009","","","WP_162492183.1, WP_235463104.1",""
"FRANCCI3_RS00050","1.2340151279","2.3522071654","0.1412535479","","","","","",""
"FRANCCI3_RS00055","-0.4280420846","-1.3454064545","0.3084703864","FRANCCI3_RS00055","Francci3_0010","GO:0016757 - glycosyltransferase activity [Evidence IEA]","","WP_011434486.1",""
"FRANCCI3_RS00060","-0.090855705","-1.0650016791","0.8685168592","FRANCCI3_RS00060, FRANCCI3_RS00065","Francci3_0011, Francci3_0012","GO:0008168 - methyltransferase activity [Evidence IEA]; GO:1904047 - S-adenosyl-L-methionine binding [Evidence IEA]","","WP_011434487.1, WP_011434488.1",""
"FRANCCI3_RS00065","-0.8485286682","-1.8006635827","0.0514772419","FRANCCI3_RS00060, FRANCCI3_RS00065, FRANCCI3_RS00070","Francci3_0011, Francci3_0012, Francci3_0013","GO:0008168 - methyltransferase activity [Evidence IEA]; GO:1904047 - S-adenosyl-L-methionine binding [Evidence IEA]","","WP_011434487.1, WP_011434488.1, WP_023839953.1",""
