"Name","Log? fold change","Fold change","P-value","locus_tag (NC_007777 (CDS))","old_locus_tag (NC_007777 (CDS))","GO_function (NC_007777 (CDS))","GO_process (NC_007777 (CDS))","protein_id (NC_007777 (CDS))","GO_component (NC_007777 (CDS))"
"dnaA","0.3001911007","1.2313075027","0.5600486617","FRANCCI3_RS00015","Francci3_0001","GO:0005524 - ATP binding [Evidence IEA]; GO:0003688 - DNA replication origin binding [Evidence IEA]; GO:0043565 - sequence-specific DNA binding [Evidence IEA]","GO:0006275 - regulation of DNA replication [Evidence IEA]","WP_011434478.1",""
"dnaN_1","0.2668537978","1.2031810898","0.6390954187","FRANCCI3_RS00020","Francci3_0003","GO:0003887 - DNA-directed DNA polymerase activity [Evidence IEA]","GO:0006260 - DNA replication [Evidence IEA]","WP_011434479.1","GO:0009360 - DNA polymerase III complex [Evidence IEA]"
"recF","-0.3416465022","-1.2672019866","0.5468593312","FRANCCI3_RS00025, FRANCCI3_RS00030","Francci3_0004, Francci3_0005","GO:0005524 - ATP binding [Evidence IEA]; GO:0003697 - single-stranded DNA binding [Evidence IEA]","GO:0006281 - DNA repair [Evidence IEA]","WP_011434480.1, WP_011434481.1",""
"FRANCCI3_RS00030","-0.9210584076","-1.8935039196","0.4177182944","FRANCCI3_RS00025, FRANCCI3_RS00030","Francci3_0004, Francci3_0005","GO:0005524 - ATP binding [Evidence IEA]; GO:0003697 - single-stranded DNA binding [Evidence IEA]","GO:0006281 - DNA repair [Evidence IEA]","WP_011434480.1, WP_011434481.1",""
"gyrB","0.2819253102","1.2158163375","0.5943896792","FRANCCI3_RS00035","Francci3_0006","GO:0003918 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [Evidence IEA]","GO:0006265 - DNA topological change [Evidence IEA]","WP_035729010.1","GO:0009330 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [Evidence IEA]"
"gyrA","0.7168119197","1.6435460959","0.2435631911","FRANCCI3_RS00040","Francci3_0007","GO:0005524 - ATP binding [Evidence IEA]; GO:0003677 - DNA binding [Evidence IEA]; GO:0003916 - DNA topoisomerase activity [Evidence IEA]; GO:0003918 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [Evidence IEA]","GO:0006259 - DNA metabolic process [Evidence IEA]; GO:0006265 - DNA topological change [Evidence IEA]","WP_011434483.1",""
"FRANCCI3_RS23025","0.6458248435","1.564633591","0.6107731334","FRANCCI3_RS23025, FRANCCI3_RS00045","Francci3_0008, Francci3_0009","","","WP_162492183.1, WP_235463104.1",""
"FRANCCI3_RS00045","0.6200323088","1.5369095996","0.4811654571","FRANCCI3_RS23025, FRANCCI3_RS00045","Francci3_0008, Francci3_0009","","","WP_162492183.1, WP_235463104.1",""
"FRANCCI3_RS00050","-0.2228141306","-1.1670077408","0.9626313786","","","","","",""
"FRANCCI3_RS00055","1.1400986028","2.2039608591","0.2216127085","FRANCCI3_RS00055","Francci3_0010","GO:0016757 - glycosyltransferase activity [Evidence IEA]","","WP_011434486.1",""
"FRANCCI3_RS00060","4.7456813764","26.8282561461","0.2258132066","FRANCCI3_RS00060, FRANCCI3_RS00065","Francci3_0011, Francci3_0012","GO:0008168 - methyltransferase activity [Evidence IEA]; GO:1904047 - S-adenosyl-L-methionine binding [Evidence IEA]","","WP_011434487.1, WP_011434488.1",""
"FRANCCI3_RS00065","0.151072995","1.1103950141","0.8789443679","FRANCCI3_RS00060, FRANCCI3_RS00065, FRANCCI3_RS00070","Francci3_0011, Francci3_0012, Francci3_0013","GO:0008168 - methyltransferase activity [Evidence IEA]; GO:1904047 - S-adenosyl-L-methionine binding [Evidence IEA]","","WP_011434487.1, WP_011434488.1, WP_023839953.1",""
"FRANCCI3_RS00070","-1.2694309894","-2.4106646823","0.2370136212","FRANCCI3_RS00065, FRANCCI3_RS00070","Francci3_0012, Francci3_0013","GO:0008168 - methyltransferase activity [Evidence IEA]; GO:1904047 - S-adenosyl-L-methionine binding [Evidence IEA]","","WP_011434488.1, WP_023839953.1",""
"def","-0.0736451294","-1.0523722629","0.8922389677","FRANCCI3_RS00075","Francci3_0014","GO:0042586 - peptide deformylase activity [Evidence IEA]","GO:0036211 - protein modification process [Evidence IEA]","WP_023839952.1",""
"FRANCCI3_RS00085","9.284E-3","1.0064558833","0.98866815","FRANCCI3_RS00085","Francci3_0015","","","WP_236701414.1",""
"FRANCCI3_RS00090","0.3330226419","1.2596497489","0.6670821145","FRANCCI3_RS00090","Francci3_0016","GO:0016747 - acyltransferase activity, transferring groups other than amino-acyl groups [Evidence IEA]","","WP_236701413.1",""
"cas3_1","-0.1695110868","-1.1246772795","0.7971525565","FRANCCI3_RS00095","Francci3_0017","GO:0004386 - helicase activity [Evidence IEA]","GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA]","WP_256375104.1",""
"casA","0.2404856372","1.1813902718","0.6456678245","FRANCCI3_RS00100","Francci3_0018","GO:0003674 - molecular_function [Evidence IEA]","GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA]","WP_011434494.1",""
"casB","1.0523294584","2.0738757448","0.3016322817","FRANCCI3_RS00105","Francci3_0019","GO:0003674 - molecular_function [Evidence IEA]","GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA]","WP_011434495.1",""
"cas7e","1.0572037066","2.0808943318","0.1375357055","FRANCCI3_RS00110, FRANCCI3_RS00115","Francci3_0020, Francci3_0021","GO:0003674 - molecular_function [Evidence IEA]","GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA]","WP_011434496.1, WP_011434497.1",""
"cas5e","0.8195313851","1.7648326481","0.4476170449","FRANCCI3_RS00110, FRANCCI3_RS00115","Francci3_0020, Francci3_0021","GO:0003674 - molecular_function [Evidence IEA]","GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA]","WP_011434496.1, WP_011434497.1",""
"cas6e","0.238836744","1.1800408018","0.7956879525","FRANCCI3_RS00120","Francci3_0022","GO:0003674 - molecular_function [Evidence IEA]","GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA]","WP_011434498.1",""
"cas1e","0.6412817401","1.5597142479","0.371185729","FRANCCI3_RS00125, FRANCCI3_RS00130","Francci3_0023, Francci3_0024","GO:0004520 - DNA endonuclease activity [Evidence IEA]; GO:0046872 - metal ion binding [Evidence IEA]; GO:0003676 - nucleic acid binding [Evidence IEA], GO:0004521 - RNA endonuclease activity [Evidence IEA]","GO:0051607 - defense response to virus [Evidence IEA]; GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA], GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA]","WP_011434499.1, WP_011434500.1",""
"cas2e","2.1013847423","4.2912107079","0.6133235722","FRANCCI3_RS00125, FRANCCI3_RS00130","Francci3_0023, Francci3_0024","GO:0004520 - DNA endonuclease activity [Evidence IEA]; GO:0046872 - metal ion binding [Evidence IEA]; GO:0003676 - nucleic acid binding [Evidence IEA], GO:0004521 - RNA endonuclease activity [Evidence IEA]","GO:0051607 - defense response to virus [Evidence IEA]; GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA], GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA]","WP_011434499.1, WP_011434500.1",""
"FRANCCI3_RS00135","0.2609073642","1.1982320801","0.6795638841","FRANCCI3_RS00135","Francci3_0028","","","WP_011434504.1",""
"FRANCCI3_RS00145","-0.8056732631","-1.7479613234","0.3584038023","FRANCCI3_RS00145","Francci3_0030","","","WP_023840580.1",""
"FRANCCI3_RS00150","0.081048973","1.0577868701","0.8852271449","FRANCCI3_RS00150","Francci3_0031","","","WP_011434507.1",""
"FRANCCI3_RS00155","0.0104578343","1.0072751546","0.9906278888","FRANCCI3_RS00155","Francci3_0032","","","WP_011434508.1",""
"FRANCCI3_RS00160","0.2369068145","1.1784632869","0.8321411678","FRANCCI3_RS00160","Francci3_0033","GO:0003674 - molecular_function [Evidence IEA]","GO:0008150 - biological_process [Evidence IEA]","WP_011434509.1","GO:0005575 - cellular_component [Evidence IEA]"
