"Name","Log? fold change","Fold change","P-value","locus_tag (NC_007777 (CDS))","old_locus_tag (NC_007777 (CDS))","GO_function (NC_007777 (CDS))","GO_process (NC_007777 (CDS))","protein_id (NC_007777 (CDS))","GO_component (NC_007777 (CDS))"
"dnaA","0.3483266535","1.2730831528","0.6490264859","FRANCCI3_RS00015","Francci3_0001","GO:0005524 - ATP binding [Evidence IEA]; GO:0003688 - DNA replication origin binding [Evidence IEA]; GO:0043565 - sequence-specific DNA binding [Evidence IEA]","GO:0006275 - regulation of DNA replication [Evidence IEA]","WP_011434478.1",""
"dnaN_1","-0.0516984797","-1.0364844553","0.9532500559","FRANCCI3_RS00020","Francci3_0003","GO:0003887 - DNA-directed DNA polymerase activity [Evidence IEA]","GO:0006260 - DNA replication [Evidence IEA]","WP_011434479.1","GO:0009360 - DNA polymerase III complex [Evidence IEA]"
"recF","0.2154190983","1.1610411442","0.7410790134","FRANCCI3_RS00025, FRANCCI3_RS00030","Francci3_0004, Francci3_0005","GO:0005524 - ATP binding [Evidence IEA]; GO:0003697 - single-stranded DNA binding [Evidence IEA]","GO:0006281 - DNA repair [Evidence IEA]","WP_011434480.1, WP_011434481.1",""
"FRANCCI3_RS00030","0.6311006417","1.5487460917","0.426257244","FRANCCI3_RS00025, FRANCCI3_RS00030","Francci3_0004, Francci3_0005","GO:0005524 - ATP binding [Evidence IEA]; GO:0003697 - single-stranded DNA binding [Evidence IEA]","GO:0006281 - DNA repair [Evidence IEA]","WP_011434480.1, WP_011434481.1",""
"gyrB","0.311386998","1.2409001203","0.7069282865","FRANCCI3_RS00035","Francci3_0006","GO:0003918 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [Evidence IEA]","GO:0006265 - DNA topological change [Evidence IEA]","WP_035729010.1","GO:0009330 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [Evidence IEA]"
"gyrA","0.0700369138","1.0497435428","0.9362430643","FRANCCI3_RS00040","Francci3_0007","GO:0005524 - ATP binding [Evidence IEA]; GO:0003677 - DNA binding [Evidence IEA]; GO:0003916 - DNA topoisomerase activity [Evidence IEA]; GO:0003918 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [Evidence IEA]","GO:0006259 - DNA metabolic process [Evidence IEA]; GO:0006265 - DNA topological change [Evidence IEA]","WP_011434483.1",""
"FRANCCI3_RS23025","-0.4493933481","-1.3654659588","0.507172515","FRANCCI3_RS23025, FRANCCI3_RS00045","Francci3_0008, Francci3_0009","","","WP_162492183.1, WP_235463104.1",""
"FRANCCI3_RS00045","0.0199957981","1.0139565266","0.9755009064","FRANCCI3_RS23025, FRANCCI3_RS00045","Francci3_0008, Francci3_0009","","","WP_162492183.1, WP_235463104.1",""
"FRANCCI3_RS00050","3.4145271967","10.662894376","8.916E-4","","","","","",""
"FRANCCI3_RS00055","-0.2459812973","-1.1858991256","0.7209266079","FRANCCI3_RS00055","Francci3_0010","GO:0016757 - glycosyltransferase activity [Evidence IEA]","","WP_011434486.1",""
"FRANCCI3_RS00060","0.3073256942","1.2374117979","0.6618619879","FRANCCI3_RS00060, FRANCCI3_RS00065","Francci3_0011, Francci3_0012","GO:0008168 - methyltransferase activity [Evidence IEA]; GO:1904047 - S-adenosyl-L-methionine binding [Evidence IEA]","","WP_011434487.1, WP_011434488.1",""
"FRANCCI3_RS00065","-0.6933348236","-1.6170169747","0.4250676953","FRANCCI3_RS00060, FRANCCI3_RS00065, FRANCCI3_RS00070","Francci3_0011, Francci3_0012, Francci3_0013","GO:0008168 - methyltransferase activity [Evidence IEA]; GO:1904047 - S-adenosyl-L-methionine binding [Evidence IEA]","","WP_011434487.1, WP_011434488.1, WP_023839953.1",""
"FRANCCI3_RS00070","0.1654502292","1.1215160206","0.8175786042","FRANCCI3_RS00065, FRANCCI3_RS00070","Francci3_0012, Francci3_0013","GO:0008168 - methyltransferase activity [Evidence IEA]; GO:1904047 - S-adenosyl-L-methionine binding [Evidence IEA]","","WP_011434488.1, WP_023839953.1",""
"def","-0.0870946939","-1.0622289055","0.8962913167","FRANCCI3_RS00075","Francci3_0014","GO:0042586 - peptide deformylase activity [Evidence IEA]","GO:0036211 - protein modification process [Evidence IEA]","WP_023839952.1",""
"FRANCCI3_RS00085","0.0222687641","1.0155552742","0.9763682857","FRANCCI3_RS00085","Francci3_0015","","","WP_236701414.1",""
"FRANCCI3_RS00090","0.8733536639","1.8319163959","0.318838842","FRANCCI3_RS00090","Francci3_0016","GO:0016747 - acyltransferase activity, transferring groups other than amino-acyl groups [Evidence IEA]","","WP_236701413.1",""
"cas3_1","0.6593059546","1.5793226674","0.3223578003","FRANCCI3_RS00095","Francci3_0017","GO:0004386 - helicase activity [Evidence IEA]","GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA]","WP_256375104.1",""
"casA","0.168356655","1.1237776828","0.8367191452","FRANCCI3_RS00100","Francci3_0018","GO:0003674 - molecular_function [Evidence IEA]","GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA]","WP_011434494.1",""
"casB","0.4124399929","1.3309348875","0.5843919143","FRANCCI3_RS00105","Francci3_0019","GO:0003674 - molecular_function [Evidence IEA]","GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA]","WP_011434495.1",""
"cas7e","0.7171648205","1.6439481765","0.3964174674","FRANCCI3_RS00110, FRANCCI3_RS00115","Francci3_0020, Francci3_0021","GO:0003674 - molecular_function [Evidence IEA]","GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA]","WP_011434496.1, WP_011434497.1",""
"cas5e","0.4108498064","1.3294686949","0.6112557476","FRANCCI3_RS00110, FRANCCI3_RS00115","Francci3_0020, Francci3_0021","GO:0003674 - molecular_function [Evidence IEA]","GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA]","WP_011434496.1, WP_011434497.1",""
"cas6e","0.4444178954","1.3607649586","0.5381954799","FRANCCI3_RS00120","Francci3_0022","GO:0003674 - molecular_function [Evidence IEA]","GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA]","WP_011434498.1",""
"cas1e","0.2267114755","1.1701645969","0.7526667417","FRANCCI3_RS00125, FRANCCI3_RS00130","Francci3_0023, Francci3_0024","GO:0004520 - DNA endonuclease activity [Evidence IEA]; GO:0046872 - metal ion binding [Evidence IEA]; GO:0003676 - nucleic acid binding [Evidence IEA], GO:0004521 - RNA endonuclease activity [Evidence IEA]","GO:0051607 - defense response to virus [Evidence IEA]; GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA], GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA]","WP_011434499.1, WP_011434500.1",""
"cas2e","0.2314029389","1.1739760193","0.7920504497","FRANCCI3_RS00125, FRANCCI3_RS00130","Francci3_0023, Francci3_0024","GO:0004520 - DNA endonuclease activity [Evidence IEA]; GO:0046872 - metal ion binding [Evidence IEA]; GO:0003676 - nucleic acid binding [Evidence IEA], GO:0004521 - RNA endonuclease activity [Evidence IEA]","GO:0051607 - defense response to virus [Evidence IEA]; GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA], GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA]","WP_011434499.1, WP_011434500.1",""
"FRANCCI3_RS00135","0.2094952823","1.1562835946","0.7154899004","FRANCCI3_RS00135","Francci3_0028","","","WP_011434504.1",""
"FRANCCI3_RS00145","0.3664103078","1.2891412149","0.6485109222","FRANCCI3_RS00145","Francci3_0030","","","WP_023840580.1",""
"FRANCCI3_RS00150","-0.8344771402","-1.7832106526","0.3460675492","FRANCCI3_RS00150","Francci3_0031","","","WP_011434507.1",""
"FRANCCI3_RS00155","0.3023062733","1.2331140785","0.7265958955","FRANCCI3_RS00155","Francci3_0032","","","WP_011434508.1",""
"FRANCCI3_RS00160","-0.5186117385","-1.4325760602","0.4440849064","FRANCCI3_RS00160","Francci3_0033","GO:0003674 - molecular_function [Evidence IEA]","GO:0008150 - biological_process [Evidence IEA]","WP_011434509.1","GO:0005575 - cellular_component [Evidence IEA]"
"FRANCCI3_RS00165","0.1855434136","1.1372452537","0.7695052533","FRANCCI3_RS00165","Francci3_0034","","","WP_083503373.1",""
"FRANCCI3_RS00170","-0.0407039878","-1.0286156349","0.9540393851","FRANCCI3_RS00170","Francci3_0035","","","WP_011434511.1",""
"FRANCCI3_RS00175","-0.1996527961","-1.1484219386","0.8093633943","FRANCCI3_RS00175","Francci3_0036","","","WP_035957990.1",""
"FRANCCI3_RS23765","-1.3700784259","-2.5848461716","0.2014235182","FRANCCI3_RS23765","Francci3_0037","","","WP_011434513.1",""
"FRANCCI3_RS00180","-0.2033702474","-1.1513849402","0.7198727713","FRANCCI3_RS00180, FRANCCI3_RS00185","Francci3_0038","","","WP_011434514.1, WP_023840585.1",""
"FRANCCI3_RS00185","0.1893503447","1.1402501379","0.7881808879","FRANCCI3_RS00180, FRANCCI3_RS00185","Francci3_0038","","","WP_011434514.1, WP_023840585.1",""
"FRANCCI3_RS28640","0.6170810132","1.5337687846","0.5276971158","FRANCCI3_RS28640","","GO:0003677 - DNA binding [Evidence IEA]","","WP_035729276.1",""
"FRANCCI3_RS00195","-0.6432987502","-1.5618963858","0.4567364141","FRANCCI3_RS00195","Francci3_0040","","","WP_023840588.1",""
"FRANCCI3_RS00200","-6.316E-3","-1.0043878498","0.9928894919","FRANCCI3_RS00200","Francci3_0041","","","WP_011434517.1",""
"FRANCCI3_RS26525","-2.0916557095","-4.2623696339","0.1804345749","FRANCCI3_RS26525","","","","WP_023840589.1",""
"FRANCCI3_RS00205","0.1660299308","1.1219667571","0.8174004574","FRANCCI3_RS00205","Francci3_0043","GO:0050660 - flavin adenine dinucleotide binding [Evidence IEA]; GO:0016491 - oxidoreductase activity [Evidence IEA]","","WP_011434519.1",""
"FRANCCI3_RS00210","0.3478730438","1.2726829351","0.6042586884","FRANCCI3_RS00210","Francci3_0044","GO:0004672 - protein kinase activity [Evidence IEA]","GO:0006468 - protein phosphorylation [Evidence IEA]","WP_237704553.1",""
"pgi","0.1246934429","1.0902760362","0.865893349","FRANCCI3_RS00215","Francci3_0045","GO:0004347 - glucose-6-phosphate isomerase activity [Evidence IEA]","GO:0006094 - gluconeogenesis [Evidence IEA]; GO:0006096 - glycolytic process [Evidence IEA]","WP_011434521.1",""
"FRANCCI3_RS00220","0.0219333197","1.0153191725","0.9780176759","FRANCCI3_RS00220","Francci3_0046","","","WP_011434522.1",""
"FRANCCI3_RS26530","-0.5654640556","-1.4798634439","0.4785029062","FRANCCI3_RS26530","","","","WP_049760794.1",""
"FRANCCI3_RS00230","0.8685478189","1.8258241459","0.4087590227","FRANCCI3_RS00230","Francci3_0047","","","WP_011434523.1",""
"FRANCCI3_RS00235","-0.3294497788","-1.2565340608","0.6077920418","FRANCCI3_RS00235","Francci3_0048","","","WP_237704554.1",""
"FRANCCI3_RS00240","-0.0379555368","-1.0266579041","0.9646567411","FRANCCI3_RS00240","Francci3_0049","GO:0005524 - ATP binding [Evidence IEA]","","WP_011434525.1",""
"FRANCCI3_RS00245","-1.0473317768","-2.0667040009","0.1877002334","FRANCCI3_RS00245","Francci3_0050","","","WP_011434526.1",""
"FRANCCI3_RS00250","0.3321239201","1.2588652989","0.7168350758","FRANCCI3_RS00250","Francci3_0051","","","WP_011434527.1",""
"FRANCCI3_RS00255","-0.1675705119","-1.1231654886","0.81032331","FRANCCI3_RS00255","Francci3_0052","","","WP_011434528.1",""
